item_name,unit_weight,flavor,blend,doses,units_per_case,unit_upc,case_upc,sku
"BRĒZ - Cannabis and Mushrooms Social Tonic 7.5 oz",7.5 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","2.5mg THC; 5mg CBD;   1600mg fruiting bodies Lion's Mane (25mg micronized extract)",24,197644087846,10197644087843,"W-BREZ-L24"
"BRĒZ - Cannabis and Mushrooms Social Tonic 12 oz",12 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","5mg THC; 10mg CBD;  2200mg fruiting bodies Lion's Mane (33mg micronized extract)",24,197644309047,20197644523065,"W-BREZ-12-L24 W-BREZ-DUO-12 W-BREZ-TRIO-FREESAMPLE"
"BRĒZ Flow - Social Tonic 12 oz",12 oz,Lemon Elderflower,"Lion's Mane; Cacao; Black Seed Oil; L-Theanine","2200mg fruiting bodies Lion's Mane (33mg micronized extract)",24,197644523061,10197644523068,"W-BREZ-TRIO-18 W-BREZ-LM-24 W-BREZ-OLDLION-06 W-BREZ-OLDLION-24"
"Lion's Mane - Single",7.5 oz,Lemon Elderflower,"Lion's Mane","33 mg Lion's Mane (2500mg fruiting body)",24,,,""
"BRĒZ 3MG",12 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","3mg THC; 6mg CBD;  2200mg fruiting bodies Lion's Mane (33mg micronized extract)",24,860012637799,860013707132,"W-BREZ-12L-L24"
"BRĒZ - Extra Strength Social Tonic 12 oz",12 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","10mg THC; 20mg CBD;  2200mg fruiting bodies Lion's Mane (33mg micronized extract)",24,860012637782,860013707125,"BREZ-12X-L06 BREZ-12X-L12 BREZ-12X-L18 BREZ-12X-L24 BREZ-12X-L48  BREZ-OG-TRIO-18 BREZ-OG-TRIO-36 BREZ-OG-TRIO-72 BREZ-OG-TRIO-144"
"Spirit 750ML",25.4 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","75mg THC; 150mg CBD;  33;000mg fruiting bodies Lion's Mane (33mg micronized extract)",6,860012637744,,""
"BREZ 50ML Shots",1.69 oz,Lemon Elderflower,"THC; CBD; Lion's Mane","5mg THC; 10mg CBD;  2200mg fruiting bodies Lion's Mane (33mg micronized extract)",12,860012637768,,""
"Amplify",12 oz,Watermelon Lime,"THC; CBD; Cordyceps; Ginseng; Maca","5mg THC 5mg CBD 5mg CBDa 5mg CBGa",24,860013612726,10860013612723,""
"Elevate",12 oz,Strawberry Mango,"","80mg caffeine Zero Sugar; Zero Carbs",24,860013612740,10860013612747,""
"Dream",12 oz,Cherry Chamomile,"","",24,860013612795,860013707118,""
"Drift",12 oz,Blueberry Lotus,"","75mg CBD 5mg THC",24,860013612764,860013612788,""
