week_start,wholesale_orders,wholesale_revenue
2024-12-30,13,4446.11
2025-01-06,31,13174.5
2025-01-13,26,11444
2025-01-20,19,9954.31
2025-01-27,30,8709.32
2025-02-03,16,6931.12
2025-02-10,31,12471.56
2025-02-17,46,18028.06
2025-02-24,33,15824.59
2025-03-03,27,10413.68
2025-03-10,25,10586.63
2025-03-17,19,6251.58
2025-03-24,22,8970.93
2025-03-31,28,11004.93
2025-04-07,27,9716.14
2025-04-14,27,11385.96
2025-04-21,46,27495.18
2025-04-28,27,8420.08
2025-05-05,17,6493.03
2025-05-12,24,9355.74
2025-05-19,25,10202.41
2025-05-26,24,13734.93
2025-06-02,28,12784.01
2025-06-09,27,14173.55
2025-06-16,33,18069.91
2025-06-23,24,12296.65
2025-06-30,24,12077.77
2025-07-07,33,21195.5
2025-07-14,31,13764.77
2025-07-21,34,21005.98
2025-07-28,14,6045.14
2025-08-04,24,12644.95
2025-08-11,22,13759.79
2025-08-18,31,11035.56
2025-08-25,27,15994.17
2025-09-01,26,13311.91
2025-09-08,22,7294.35
2025-09-15,22,11895.05
2025-09-22,14,9717.57
2025-09-29,27,9301.45
2025-10-06,27,12616.69
2025-10-13,13,10305.4
2025-10-20,15,6727.21
2025-10-27,10,4812.36
2025-11-03,23,8041.45
2025-11-10,19,7381.2
2025-11-17,19,9257.31
2025-11-24,11,3743.46
2025-12-01,17,10912
2025-12-08,8,6672.55
2025-12-15,8,2603.1
2025-12-22,8,3958.72
2025-12-29,10,6126.26
